,id,reason_for_absence,month_of_absence,day_of_the_week,seasons,transportation_expense,distance_from_residence_to_work,service_time,age,work_load_average/day,hit_target,disciplinary_failure,education,son,social_drinker,social_smoker,pet,weight,height,body_mass_index,absenteeism_time_in_hours,absence_category
34,3,23,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,1
35,10,23,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,1,1
36,11,24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,2
37,19,11,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0,65,169,23,4,1
38,2,28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,2
39,20,23,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4,1
40,27,23,9,3,1,184,42,7,27,241.476,92,0,1,0,0,0,0,58,167,21,2,1
41,34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,4,1
42,3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,4,1
43,5,19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,8,2
44,14,23,9,4,1,155,12,14,34,241.476,92,0,1,2,1,0,0,95,196,25,2,1
45,34,23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,3,1
46,3,23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,1
47,15,23,9,5,1,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,4,1
48,20,22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,8,2
49,15,14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,32,4
50,20,0,9,2,4,260,50,11,36,241.476,92,1,1,4,1,0,0,65,168,23,0,0
51,29,0,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2,69,169,24,0,0
52,28,23,9,3,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,2,1
53,34,23,9,3,4,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,2,1
54,11,0,9,3,4,289,36,13,33,241.476,92,1,1,2,1,0,1,90,172,30,0,0
55,36,0,9,3,4,118,13,18,50,241.476,92,1,1,1,1,0,0,98,178,31,0,0
56,28,18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,3,1
57,3,23,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,1
58,13,0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25,0,0
59,33,23,9,6,4,248,25,14,47,241.476,92,0,1,2,0,0,1,86,165,32,1,1
60,3,23,9,6,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,1
61,20,23,9,6,4,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,4,1
62,3,23,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3,1
63,34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3,1
64,36,0,10,4,4,118,13,18,50,253.465,93,1,1,1,1,0,0,98,178,31,0,0
65,22,23,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0,56,171,19,1,1
66,3,23,10,6,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3,1
67,28,23,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,1
68,34,23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3,1
69,28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2,1
70,33,23,10,4,4,248,25,14,47,253.465,93,0,1,2,0,0,1,86,165,32,2,1
71,15,23,10,5,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,5,2
72,3,23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,8,2
73,28,23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,1
74,20,19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,16,3
75,15,14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,8,2
76,28,28,10,3,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2,1
77,11,26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30,8,2
78,10,23,10,6,4,361,52,3,28,253.465,93,0,1,1,1,0,4,80,172,27,1,1
79,20,28,10,6,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,3,1
80,3,23,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,1,1
81,28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1,1
82,3,13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,8,2
83,17,21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8,2
84,15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,5,2
85,14,10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,32,4
86,6,22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25,8,2
87,15,14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,40,4
88,28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1,1
89,14,6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,8,2
90,28,23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,1
91,17,21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8,2
92,28,13,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,1
93,20,28,11,6,4,260,50,11,36,306.345,93,0,1,4,1,0,0,65,168,23,4,1
94,33,28,11,2,4,248,25,14,47,306.345,93,0,1,2,0,0,1,86,165,32,1,1
95,28,28,11,3,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,1
96,11,7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,24,3
97,15,23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,3,1
98,33,23,12,3,4,248,25,14,47,261.306,97,0,1,2,0,0,1,86,165,32,1,1
99,34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,64,4
100,36,23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31,2,1
101,1,26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,8,2
102,28,23,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,1
103,20,26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,8,2
104,34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,56,4
105,10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8,2
106,28,28,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,3,1
107,20,28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,3,1
108,28,23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,1
109,10,22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8,2
110,34,27,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,2,1
111,24,19,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0,67,170,23,8,2
112,28,23,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,1
113,28,23,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,1
114,34,19,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1,1
115,34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1,1
116,14,18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25,8,2
117,28,27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,1
118,27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2,1
119,28,28,1,5,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,1
120,28,27,1,6,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,1
121,34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1
122,28,27,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,1
123,34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1
124,34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1
125,34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1
126,34,27,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1
127,34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1
128,34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1
129,22,18,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0,56,171,19,8,2
130,11,18,1,3,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,8,2
131,34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1
132,27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2,1
133,34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,1
134,34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,0
135,28,23,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,1
136,11,22,1,5,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,3,1
137,27,23,2,6,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,1,1
138,24,1,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0,67,170,23,8,2
139,3,11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31,8,2
140,14,28,2,5,2,155,12,14,34,302.585,99,0,1,2,1,0,0,95,196,25,2,1
141,6,23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8,2
142,20,28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23,2,1
143,11,22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30,8,2
144,31,11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,2
145,31,1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,2
146,28,28,2,2,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2,1
147,28,23,2,3,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2,1
148,22,23,2,3,2,179,26,9,30,302.585,99,0,3,0,0,0,0,56,171,19,1,1
149,27,23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,8,2
150,28,25,2,5,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,3,1
151,18,18,2,2,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,8,2
152,18,23,2,3,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,1,1
153,28,23,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,1,1
154,6,19,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8,2
155,19,28,3,3,2,291,50,12,32,343.253,95,0,1,0,1,0,0,65,169,23,2,1
156,20,19,3,3,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8,2
157,30,19,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0,75,185,22,3,1
158,17,17,3,3,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8,2
159,15,22,3,4,2,291,31,12,40,343.253,95,0,1,1,1,0,1,73,171,25,8,2
160,20,13,3,4,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8,2
161,22,13,3,5,2,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,8,2
162,33,14,3,6,2,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,3,1
163,20,13,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,40,4
164,17,11,3,2,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,40,4
165,14,1,3,2,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,16,3
166,20,26,3,2,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,16,3
167,14,13,3,3,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,8,2
168,11,6,3,5,2,289,36,13,33,343.253,95,0,1,2,1,0,1,90,172,30,8,2
169,17,8,3,5,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8,2
170,20,28,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,4,1
171,28,23,3,6,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1,1
172,7,14,3,2,2,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,8,2
173,3,13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,24,3
174,28,23,3,4,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,2,1
175,28,11,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8,2
176,22,13,3,2,3,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,1,1
177,28,11,3,3,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,8,2
178,28,11,3,4,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,16,3
179,3,13,3,4,3,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,3,1
180,7,14,3,5,3,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,16,3
181,28,28,3,6,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,2,1
182,33,14,3,6,3,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,3,1
183,28,28,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1,1
184,15,28,4,4,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,1,1
185,28,23,4,4,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,1,1
186,14,28,4,3,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,1,1
187,24,13,4,4,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,24,3
188,14,23,4,5,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,1,1
189,28,28,4,6,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,2,1
190,20,28,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,4,1
191,3,13,4,4,3,179,51,18,38,326.452,96,0,1,0,1,0,0,89,170,31,24,3
192,36,23,4,5,3,118,13,18,50,326.452,96,0,1,1,1,0,0,98,178,31,1,1
193,15,23,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,3,1
194,24,14,4,6,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,8,2
195,15,28,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,1,1
196,33,28,4,6,3,248,25,14,47,326.452,96,0,1,2,0,0,1,86,165,32,8,2
197,20,19,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,56,4
198,11,19,4,3,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,8,2
199,14,12,4,4,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,24,3
200,23,19,4,4,3,378,49,11,36,326.452,96,0,1,2,0,1,4,65,174,21,8,2
201,11,13,4,5,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,16,3
202,1,7,4,6,3,235,11,14,37,326.452,96,0,3,1,0,0,1,88,172,29,3,1
203,2,0,4,2,3,235,29,12,48,326.452,96,1,1,1,0,1,5,88,163,33,0,0
204,11,13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,8,2
205,14,28,5,5,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,2,1
206,14,28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,1,1
207,3,18,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,8,2
208,28,19,5,3,3,225,26,9,28,378.884,92,0,1,1,0,0,2,69,169,24,8,2
209,27,7,5,4,3,184,42,7,27,378.884,92,0,1,0,0,0,0,58,167,21,4,1
210,14,28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,2,1
211,3,12,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,1,1
212,11,13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,24,3
213,7,0,5,4,3,279,5,14,39,378.884,92,1,1,2,1,1,0,68,168,24,0,0
214,18,0,5,4,3,330,16,4,28,378.884,92,1,2,0,0,0,0,84,182,25,0,0
215,23,0,5,4,3,378,49,11,36,378.884,92,1,1,2,0,1,4,65,174,21,0,0
216,31,0,5,4,3,388,15,9,50,378.884,92,1,1,0,0,0,0,76,178,24,0,0
217,3,11,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,1,1
218,36,13,5,4,3,118,13,18,50,378.884,92,0,1,1,1,0,0,98,178,31,24,3
219,10,22,5,6,3,361,52,3,28,378.884,92,0,1,1,1,0,4,80,172,27,8,2
220,24,19,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,2
221,10,22,6,2,3,361,52,3,28,377.55,94,0,1,1,1,0,4,80,172,27,8,2
222,24,10,6,3,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,24,3
223,15,23,6,5,3,291,31,12,40,377.55,94,0,1,1,1,0,1,73,171,25,4,1
224,24,10,6,6,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,2
225,3,11,6,2,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,8,2
226,14,23,6,2,3,155,12,14,34,377.55,94,0,1,2,1,0,0,95,196,25,4,1
227,24,10,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,8,2
228,36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,8,2
229,1,13,6,6,3,235,11,14,37,377.55,94,0,3,1,0,0,1,88,172,29,16,3
230,36,23,6,3,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,1,1
231,36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,80,4
232,23,22,6,5,3,378,49,11,36,377.55,94,0,1,2,0,1,4,65,174,21,8,2
233,3,11,6,6,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,2,1
234,32,28,6,2,1,289,48,29,49,377.55,94,0,1,0,0,0,2,108,172,36,2,1
235,28,28,6,5,1,225,26,9,28,377.55,94,0,1,1,0,0,2,69,169,24,2,1
236,14,19,7,3,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,16,3
237,36,1,7,4,1,118,13,18,50,275.312,98,0,1,1,1,0,0,98,178,31,8,2
238,34,5,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,8,2
239,34,26,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,4,1
240,18,26,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,2
241,22,18,7,5,1,179,26,9,30,275.312,98,0,3,0,0,0,0,56,171,19,8,2
242,14,25,7,6,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,2,1
243,18,1,7,2,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,2
244,18,1,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,8,2
245,30,25,7,2,1,157,27,6,29,275.312,98,0,1,0,1,1,0,75,185,22,3,1
246,10,22,7,3,1,361,52,3,28,275.312,98,0,1,1,1,0,4,80,172,27,8,2
247,11,26,7,4,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,8,2
248,3,26,7,5,1,179,51,18,38,275.312,98,0,1,0,1,0,0,89,170,31,8,2
249,11,19,7,2,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,32,4
250,11,19,7,5,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,8,2
251,20,0,7,5,1,260,50,11,36,275.312,98,1,1,4,1,0,0,65,168,23,0,0
252,11,19,8,6,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,8,2
253,30,19,8,6,1,157,27,6,29,265.615,94,0,1,0,1,1,0,75,185,22,3,1
254,11,23,8,2,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,1,1
255,9,18,8,3,1,228,14,16,58,265.615,94,0,1,2,0,0,1,65,172,22,8,2
256,26,13,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,1,1
257,26,14,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,2,1
258,20,28,8,6,1,260,50,11,36,265.615,94,0,1,4,1,0,0,65,168,23,4,1
259,11,23,8,3,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,4,1
260,33,23,8,4,1,248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32,1,1
261,21,11,8,5,1,268,11,8,33,265.615,94,0,2,0,0,0,0,79,178,25,8,2
262,22,23,8,5,1,179,26,9,30,265.615,94,0,3,0,0,0,0,56,171,19,1,1
263,36,13,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,3,1
264,33,25,8,2,1,248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32,2,1
265,1,23,8,3,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,1,1
266,36,23,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,1,1
267,1,19,8,5,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,8,2
268,10,8,8,3,1,361,52,3,28,265.615,94,0,1,1,1,0,4,80,172,27,8,2
269,27,6,8,4,1,184,42,7,27,265.615,94,0,1,0,0,0,0,58,167,21,8,2
270,3,11,9,2,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8,2
271,3,23,9,6,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,3,1
272,11,19,9,4,1,289,36,13,33,294.217,81,0,1,2,1,0,1,90,172,30,24,3
273,5,0,9,5,1,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0,0
274,24,9,9,2,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,16,3
275,15,28,9,3,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,3,1
276,8,0,9,3,1,231,35,14,39,294.217,81,1,1,2,1,0,2,100,170,35,0,0
277,19,0,9,3,1,291,50,12,32,294.217,81,1,1,0,1,0,0,65,169,23,0,0
278,3,13,9,4,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,8,2
279,24,9,9,4,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,32,4
280,3,23,9,5,1,179,51,18,38,294.217,81,0,1,0,1,0,0,89,170,31,1,1
281,15,28,9,6,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,4,1
282,20,28,9,6,1,260,50,11,36,294.217,81,0,1,4,1,0,0,65,168,23,4,1
283,5,26,9,4,4,235,20,13,43,294.217,81,0,1,1,1,0,0,106,167,38,8,2
284,36,28,9,5,4,118,13,18,50,294.217,81,0,1,1,1,0,0,98,178,31,1,1
285,5,0,9,5,4,235,20,13,43,294.217,81,1,1,1,1,0,0,106,167,38,0,0
